id;fecha_inicio;fecha_fin;lenguaje
1;2023-02-16T06:42:36;2023-02-16T13:28:13;ESPANOL
2;2023-02-16T14:05:06;2023-02-16T06:59:48;ESPANOL
3;2023-02-16T09:20:17;2023-02-15T19:37:09;INGLES
4;2023-02-16T14:33:34;2023-02-16T10:43:58;ESPANOL
5;2023-02-16T14:48:57;2023-02-16T13:41:44;ESPANOL
6;2023-02-16T17:02:55;2023-02-16T12:49:37;ESPANOL
7;2023-02-16T07:55:46;2023-02-15T20:41:30;INGLES
8;2023-02-16T13:43:48;2023-02-16T16:23:26;ESPANOL
9;2023-02-15T23:20:22;2023-02-16T00:07:21;ESPANOL
10;2023-02-15T23:41:44;2023-02-15T22:19:52;ESPANOL
